(4, 188)
(3, 188)
(71, 188)
(225, 188)
(12, 188)
(34, 188)
(34, 57)
(65, 57)
(65, 269)
(148, 269)
(148, 310)
(96, 310)
(96, 316)
(24, 316)
(33, 316)
(33, 344)
(33, 23)
(31, 23)
(31, 349)
(31, 353)
(106, 353)
(34, 353)
(34, 270)
(18, 270)
(18, 330)
(18, 332)
(18, 133)
(18, 115)
(18, 199)
(112, 199)
(112, 341)
(112, 344)
(185, 344)
(212, 344)
(230, 344)
(150, 344)
(150, 351)
(166, 351)
(40, 351)
(100, 351)
(100, 354)
(100, 251)
(100, 341)
(60, 341)
(60, 112)
(60, 228)
(60, 104)
(60, 332)
(60, 347)
(60, 350)
(60, 354)
(44, 354)
(37, 354)
(200, 354)
(225, 354)
(56, 354)
(71, 354)
(226, 354)
(1, 354)
(190, 354)
(4, 354)
(4, 311)
(156, 311)
(156, 340)
(156, 126)
(156, 36)
(76, 36)
(76, 30)
(76, 28)
(199, 28)
(225, 28)
(225, 166)
(225, 267)
(21, 267)
(21, 257)
(1, 257)
(1, 178)
(1, 352)
(1, 27)
(148, 27)
(148, 90)
(148, 85)
(201, 85)
(223, 85)
(230, 85)
(230, 324)
(230, 339)
(230, 70)
(230, 274)
(230, 206)
(123, 206)
(123, 196)
(123, 271)
(123, 302)
(123, 178)
(123, 36)
(209, 36)
(81, 36)
(81, 2)
(81, 127)
(81, 209)
(148, 209)
(192, 209)
(192, 69)
(22, 69)
(22, 117)
(163, 117)
(93, 117)
(68, 117)
(3, 117)
(3, 130)
(2, 130)
(212, 130)
(214, 130)
(214, 47)
(23, 47)
(16, 47)
(16, 51)
(16, 11)
(10, 11)
(8, 11)
(127, 11)
(127, 9)
(127, 89)
(87, 89)
(86, 89)
(188, 89)
(152, 89)
(152, 33)
(152, 55)
(54, 55)
(8, 55)
(8, 6)
(127, 6)
(127, 72)
(127, 43)
(80, 43)
(80, 170)
(80, 346)
(80, 305)
(103, 305)
(103, 41)
(120, 41)
(120, 160)
(126, 160)
(126, 233)
(203, 233)
(203, 291)
(42, 291)
(42, 313)
(42, 342)
(42, 236)
(230, 236)
(230, 337)
(230, 110)
(230, 50)
(230, 315)
(31, 315)
(4, 315)
(4, 341)
(4, 160)
(2, 160)
(2, 230)
(212, 230)
(212, 121)
(212, 87)
(230, 87)
(230, 66)
(156, 66)
(156, 64)
(218, 64)
(219, 64)
(16, 64)
(16, 55)
(16, 299)
(14, 299)
(139, 299)
(139, 302)
(96, 302)
(173, 302)
(48, 302)
(48, 93)
(48, 45)
(48, 213)
(48, 351)
(48, 352)
(48, 22)
(22, 22)
(167, 22)
(67, 22)
(10, 22)
(187, 22)
(191, 22)
(119, 22)
(119, 2)
(119, 79)
(119, 28)
(50, 28)
(50, 173)
(50, 155)
(50, 269)
(50, 308)
(50, 176)
(50, 178)
(76, 178)
(101, 178)
(101, 297)
(71, 297)
(131, 297)
(119, 297)
(119, 265)
(119, 271)
(62, 271)
(62, 99)
(62, 85)
(62, 115)
(62, 302)
(62, 333)
(38, 333)
(218, 333)
(224, 333)
(224, 113)
(230, 113)
(230, 106)
(230, 99)
(230, 12)
(64, 12)
(64, 7)
(114, 7)
(172, 7)
(172, 315)
(221, 315)
(221, 269)
(221, 72)
(45, 72)
(45, 8)
(14, 8)
(79, 8)
(79, 101)
(192, 101)
(192, 43)
(192, 155)
(210, 155)
(210, 48)
(134, 48)
(112, 48)
(71, 48)
(71, 325)
(16, 325)
(73, 325)
(73, 333)
(159, 333)
(165, 333)
(205, 333)
(22, 333)
(13, 333)
(13, 351)
(11, 351)
(95, 351)
(95, 353)
(67, 353)
(52, 353)
(52, 354)
(64, 354)
(64, 50)
(64, 349)
Mistake!
