(149, 261)
(149, 17)
(48, 17)
(117, 17)
(8, 17)
(8, 332)
(8, 55)
(3, 55)
(3, 110)
(3, 68)
(3, 257)
(3, 309)
(3, 359)
(2, 359)
(1, 359)
(1, 197)
(1, 119)
(1, 246)
(140, 246)
(191, 246)
(191, 58)
(36, 58)
(31, 58)
(31, 373)
(13, 373)
(135, 373)
(135, 383)
(101, 383)
(154, 383)
(146, 383)
(122, 383)
(122, 217)
(122, 252)
(122, 162)
(15, 162)
(50, 162)
(91, 162)
(124, 162)
(191, 162)
(191, 347)
(191, 362)
(191, 392)
(17, 392)
(11, 392)
(11, 85)
(7, 85)
(7, 65)
(7, 15)
(3, 15)
(3, 159)
(1, 159)
(90, 159)
(74, 159)
(74, 284)
(33, 284)
(33, 201)
(33, 95)
(33, 259)
(18, 259)
(5, 259)
(63, 259)
(26, 259)
(26, 129)
(143, 129)
(143, 334)
(143, 354)
(143, 341)
(194, 341)
(194, 390)
(194, 314)
(73, 314)
(73, 390)
(145, 390)
(166, 390)
(166, 391)
(166, 32)
(202, 32)
(202, 86)
(202, 253)
(81, 253)
(113, 253)
(113, 19)
(52, 19)
(52, 288)
(1, 288)
(59, 288)
(59, 328)
(46, 328)
(13, 328)
(1, 328)
(1, 383)
(197, 383)
(197, 391)
(197, 392)
(197, 332)
(197, 52)
(197, 107)
(197, 233)
(197, 104)
(197, 275)
(197, 372)
(197, 262)
(197, 369)
(49, 369)
(49, 384)
(31, 384)
(31, 389)
(31, 390)
(31, 273)
(6, 273)
(138, 273)
(138, 323)
(21, 323)
(10, 323)
(65, 323)
(65, 189)
(65, 38)
(65, 23)
(65, 18)
(65, 9)
(65, 151)
(65, 236)
(65, 40)
(105, 40)
(105, 21)
(43, 21)
(43, 9)
(43, 6)
(183, 6)
(117, 6)
(117, 2)
(108, 2)
(108, 369)
(108, 90)
(108, 385)
(108, 354)
(19, 354)
(4, 354)
(196, 354)
(196, 369)
(196, 291)
(196, 208)
(43, 208)
(43, 24)
(17, 24)
(17, 184)
(17, 243)
(17, 185)
(17, 303)
(9, 303)
(9, 386)
(185, 386)
(120, 386)
(130, 386)
(130, 240)
(105, 240)
(136, 240)
(142, 240)
(142, 30)
(142, 16)
(191, 16)
(191, 4)
(191, 354)
(191, 371)
(15, 371)
(43, 371)
(61, 371)
(78, 371)
(23, 371)
(5, 371)
(5, 381)
(4, 381)
(4, 233)
(2, 233)
(2, 361)
(2, 48)
(197, 48)
(197, 388)
(197, 367)
(197, 373)
(150, 373)
(150, 254)
(150, 257)
(39, 257)
(39, 130)
(39, 304)
(39, 228)
(39, 347)
(34, 347)
(162, 347)
(199, 347)
(199, 359)
(199, 238)
(202, 238)
(202, 386)
(202, 220)
(202, 56)
(202, 18)
(52, 18)
(191, 18)
(191, 186)
(191, 325)
(60, 325)
(60, 237)
(42, 237)
(99, 237)
(90, 237)
(151, 237)
(197, 237)
(24, 237)
(24, 382)
(24, 389)
(22, 389)
(22, 46)
(167, 46)
(167, 365)
(6, 365)
(70, 365)
(93, 365)
(93, 373)
(64, 373)
(64, 112)
(49, 112)
(49, 331)
(25, 331)
(107, 331)
(107, 55)
(107, 37)
(107, 176)
(107, 212)
(21, 212)
(21, 174)
(16, 174)
(15, 174)
(49, 174)
(49, 214)
(49, 379)
(49, 124)
(143, 124)
(100, 124)
(100, 46)
(40, 46)
(40, 41)
(40, 4)
(40, 83)
(40, 234)
(40, 206)
(25, 206)
(68, 206)
(68, 69)
(182, 69)
(189, 69)
(191, 69)
(191, 65)
(198, 65)
(33, 65)
(33, 374)
(33, 389)
(33, 325)
(108, 325)
(108, 192)
(108, 104)
(120, 104)
(120, 207)
(120, 47)
(119, 47)
(34, 47)
(34, 164)
(34, 128)
(2, 128)
(2, 56)
(102, 56)
(148, 56)
(77, 56)
(114, 56)
(194, 56)
(196, 56)
(193, 56)
(193, 2)
(10, 2)
(10, 1)
(156, 1)
(156, 361)
(156, 373)
(156, 384)
(86, 384)
(86, 391)
(86, 392)
(34, 392)
(34, 365)
(34, 286)
(17, 286)
(197, 286)
(197, 70)
(197, 4)
(197, 3)
(197, 325)
(55, 325)
(40, 325)
(19, 325)
(19, 358)
(126, 358)
(126, 373)
(126, 176)
(153, 176)
(102, 176)
(95, 176)
(157, 176)
(65, 176)
(65, 254)
(161, 254)
(161, 239)
(172, 239)
(176, 239)
(195, 239)
(195, 156)
(200, 156)
(200, 382)
(201, 382)
(111, 382)
(111, 34)
(111, 318)
(76, 318)
(3, 318)
(1, 318)
(30, 318)
(30, 152)
(30, 135)
(1, 135)
(1, 216)
(127, 216)
(127, 278)
(127, 70)
(45, 70)
(129, 70)
(166, 70)
(116, 70)
(117, 70)
(117, 315)
(117, 357)
(117, 384)
(117, 391)
(117, 392)
(89, 392)
(89, 32)
(89, 17)
(169, 17)
(127, 17)
(127, 7)
(117, 7)
(117, 278)
(200, 278)
(110, 278)
(47, 278)
(30, 278)
(30, 315)
(65, 315)
(65, 63)
(88, 63)
(88, 15)
(88, 143)
(70, 143)
(70, 192)
(101, 192)
(105, 192)
(105, 330)
(42, 330)
(42, 175)
(42, 265)
(42, 372)
(15, 372)
(15, 373)
(166, 373)
(172, 373)
Mistake!
